Job Title,Job Type,Company Name,Posted Date,Cities,States,Start Date,Duration,Numer of Openings,Late date to apply,Stipend_num
"DAY NULM IMPACT STUDY ON SMID, SEP, EST&P, SUSV AND SUH PROGRAMME",Full Time,Valanchery municipality,2024-06-11 00:00:00,Malappuram,Kerala,Immediately,2 Months,3,2024-07-17 00:00:00,8000.0
"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,PERINTHALMANNA MUNICIPALITY,2024-06-11 00:00:00,Perintalmanna,Kerala,Immediately,2 Months,3,2024-07-17 00:00:00,8000.0
"NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT, SELF EMPLOYEMENT PROGRAMME, STREET VENDORS",Full Time,Perumbavoor Municipality,2024-06-11 00:00:00,Kochi,Kerala,Immediately,2 Months,3,2024-07-10 00:00:00,8000.0
"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP, SUSV & SUH",Full Time,Chalakudy Municipality,2024-06-11 00:00:00,Trichar,Kerala,Immediately,2 Months,3,2024-07-03 00:00:00,8000.0
DAY-NULM IRINJALAKUDA,Full Time,Irinjalakuda Municipality,2024-06-11 00:00:00,Irinjalakuda,Kerala,Immediately,2 Months,2,2024-07-25 00:00:00,8000.0
DAY NULM PALAKKAD,Full Time,PALAKKAD MUNICIPALITY,2024-06-11 00:00:00,Palghat,Kerala,Immediately,2 Months,3,2024-06-30 00:00:00,8000.0
IMPACT OF SKILLS AND LIVELIHOOD UNDER DAY-NULM ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,2024-06-12 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-06-20 00:00:00,8000.0
IMPACT OF SOCIAL MOBILISATION AND INSTITUTION DEVELOPMENT UNDER DAY-NULM ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,2024-06-12 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-06-20 00:00:00,8000.0
IMPACT OF SUPPORT TO URBAN STREET VENDORS UNDER DAY-NULM  ON CITY LEVEL,Full Time,CHITTUR THATHAMANGALAM MUNICIPALITY,2024-06-12 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-09 00:00:00,8000.0
IMPACT OF DAY-NULM ON CITY LEVEL,Full Time,CHERPULASSERY MUNICIPALITY,2024-06-13 00:00:00,Shoranur,Kerala,Immediately,2 Months,3,2024-06-20 00:00:00,8000.0
DAYNULM INTERN,Full Time,Eloor Muncipality,2024-06-13 00:00:00,All,Kerala,Immediately,2 Months,3,2024-07-31 00:00:00,8000.0
"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,Kanhangad Municipality,2024-06-14 00:00:00,Kanhangad,Kerala,Immediately,2 Months,3,2024-07-31 00:00:00,8000.0
DAY NULM INTERN FOR SOCIAL MEDIA PROMOTION OF THE MISSION,Full Time,Irinjalakuda Municipality,2024-06-15 00:00:00,Irinjalakuda,Kerala,Immediately,2 Months,3,2024-07-10 00:00:00,8000.0
CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,KONDOTTY MUNICIPALITY,2024-06-15 00:00:00,Malappuram,Kerala,Immediately,8 Weeks,4,2024-07-11 00:00:00,8000.0
CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,KOTTAKKAL MUNICIPALITY,2024-06-15 00:00:00,Malappuram,Kerala,Immediately,8 Weeks,3,2024-07-29 00:00:00,8000.0
SELF HELP GROUP SEP SUSV SMID,Full Time,TIRURANGADI MUNICIPALITY,2024-06-15 00:00:00,Malappuram,Kerala,Immediately,2 Months,3,2024-07-07 00:00:00,8000.0
DAY NULM INTERNS,Full Time,TP Sargur,2024-06-15 00:00:00,Mysore,Karnataka,Immediately,3 Months,1,2024-07-06 00:00:00,1667.0
"NULM INTERNSHIP - STUDY ON SMID, SEP & ESTP",Full Time,Chavakkad Municipality,2024-06-18 00:00:00,Chavakkad,Kerala,Immediately,2 Months,1,2024-08-17 00:00:00,8000.0
NULM - SOCIAL MOBILISATION AND INSTITUTION BUILDING,Full Time,Pala Municipality,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,2,2024-07-28 00:00:00,8000.0
NULM INTERNSHIP - STUDY ON UPRP & MODEL CDS,Full Time,Chavakkad Municipality,2024-06-18 00:00:00,Chavakkad,Kerala,Immediately,2 Months,1,2024-08-17 00:00:00,8000.0
NULM-SUPPORT FOR URBAN STREET VENDORS,Full Time,Pala Municipality,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
NULM - SELF EMPLOYMENT PROGRAM,Full Time,Pala Municipality,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-28 00:00:00,8000.0
"NULM INTERNSHIP - STUDY ON SMID, SEP & ESTP KUNNAMKULAM",Full Time,MUNICIPALITY,2024-06-18 00:00:00,Kunnamkulam,Kerala,Immediately,2 Months,1,2024-08-17 00:00:00,8000.0
NULM-:SOCIAL MOBILISATION AND INSTITUTION BUILDING,Full Time,ERATTUPETTA MUNICIPALITY,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
NULM-:SUPPORT FOR URBAN STREET VENDORS,Full Time,ERATTUPETTA MUNICIPALITY,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
NULM-:SELF EMPLOYMENT PROGRAM,Full Time,ERATTUPETTA MUNICIPALITY,2024-06-18 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
NULM INTERNSHIP - STUDY ON UPRP KUNNAMKULAM,Full Time,MUNICIPALITY,2024-06-18 00:00:00,Kunnamkulam,Kerala,Immediately,2 Months,1,2024-08-17 00:00:00,8000.0
IMPACT ON SM AND ID UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,2024-06-18 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-31 00:00:00,8000.0
TULIP INTERN - DAYNULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,Ottappalam Municipality,2024-06-18 00:00:00,Ottappalam,Kerala,Immediately,2 Months,1,2024-07-09 00:00:00,8000.0
IMPACT ON SEP UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,2024-06-18 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-31 00:00:00,8000.0
IMPACT ON SUSV UNDER DAY NULM ON CITY LEVEL,Full Time,PATTAMBI MUNICIPALITY,2024-06-18 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-31 00:00:00,8000.0
TULIP INTERN DAYNULM -SELF EMPLOYMENT PROGRAMME,Full Time,Ottappalam Municipality,2024-06-18 00:00:00,Ottappalam,Kerala,Immediately,2 Months,1,2024-07-09 00:00:00,8000.0
TULIP INTERN DAYNULM -STREET VENDING,Full Time,Ottappalam Municipality,2024-06-18 00:00:00,Ottappalam,Kerala,Immediately,2 Months,1,2024-07-09 00:00:00,8000.0
STUDY ON STREET VENDOR,Full Time,Town Panchayat Tavaragera,2024-06-18 00:00:00,Tavaragera,Karnataka,Immediately,3 Months,5,2024-07-21 00:00:00,3000.0
DAY-NULM INTERN SHIP ON SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT IN PONNANI MUNICIPALITY,Full Time,Ponnani Municipality,2024-06-18 00:00:00,Ponnani,Kerala,Immediately,2 Months,1,2024-07-24 00:00:00,8000.0
DAY-NULM IMPACT STUDY ON SELF EPLOYMENT PROGRAMME AND LINKAGE LOAN SCHEMES,Full Time,Ponnani Municipality,2024-06-18 00:00:00,Ponnani,Kerala,Immediately,2 Months,1,2024-07-27 00:00:00,8000.0
DAY-NULM,Full Time,Thrikkakara Municipality,2024-06-19 00:00:00,Kochi,Kerala,Immediately,2 Months,3,2024-07-25 00:00:00,8000.0
IMPACT ON SM AND ID UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,2024-06-19 00:00:00,ShÃ…Âranar,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
IMPACT ON SEP UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,2024-06-19 00:00:00,ShÃ…Âranar,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
IMPACT ON SUSV UNDER DAY NULM ON CITY LEVEL,Full Time,Shoranur Municipality,2024-06-19 00:00:00,ShÃ…Âranar,Kerala,Immediately,2 Months,1,2024-09-05 00:00:00,8000.0
DEENDAYAL ANTYODAYA YOJANE NULM,Full Time,Town Panchayath Kanakagiri,2024-06-19 00:00:00,Kanakagiri,Karnataka,Immediately,3 Months,5,2024-06-27 00:00:00,1667.0
DAY NULM INTERNS,Full Time,City Municipal Council,2024-06-19 00:00:00,Hassan,Karnataka,Immediately,3 Months,1,2024-06-20 00:00:00,1666.0
CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,TANUR MUNICIPALITY,2024-06-19 00:00:00,Malappuram,Kerala,Immediately,8 Weeks,3,2024-07-17 00:00:00,8000.0
DAY NULM-TULIP INTERNSHIP PROGRAMME IN KODUNGALLUR MUNICIPALITY,Full Time,Kodungallur Municipality,2024-06-19 00:00:00,Kodungallar,Kerala,Immediately,2 Months,2,2024-06-30 00:00:00,8000.0
DAY NULM - TULIP INTERNSHIP PROGRAMME IN KODUNGALLUR MUNICIPALITY,Full Time,Kodungallur Municipality,2024-06-19 00:00:00,Kodungallar,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
STUDY ON WOMEN ENTREPRENEURSHIP - NULM,Full Time,Kochi Municipal Corporation,2024-06-19 00:00:00,Ernakulam,Kerala,Immediately,2 Months,1,2024-08-01 00:00:00,8000.0
STUDY ON KUDUMBASHREE ORGANIZATION - NULM,Full Time,Kochi Municipal Corporation,2024-06-19 00:00:00,Ernakulam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
DAY NULM TULIP INTERNSHIP IN NORTH PARAVUR MUNICIPALITY,Full Time,North Paravur Municipality,2024-06-19 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
DAY NULM TULIP INTERNSHIP IN NORTH PARAVUR MUNICIPALITY,Full Time,North Paravur Municipality,2024-06-19 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,Tirur Municipal office,2024-06-20 00:00:00,Tirur,Kerala,Immediately,8 Weeks,2,2024-07-23 00:00:00,8000.0
CITY LEVEL - TULIP INTERNS - NULM KUDUMBASHREE,Full Time,Tirur Municipal office,2024-06-20 00:00:00,Tirur,Kerala,Immediately,8 Weeks,1,2024-07-24 00:00:00,8000.0
TULIP INTERN - DAYNULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,Mannarkkad Municipality,2024-06-20 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-17 00:00:00,8000.0
DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Full Time,ANTHOOR MUNICIPALITY,2024-06-20 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-05 00:00:00,8000.0
TULIP INTERN DAYNULM -SELF EMPLOYMENT PROGRAMME,Full Time,Mannarkkad Municipality,2024-06-20 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-17 00:00:00,8000.0
TULIP INTERN DAYNULM -STREET VENDING,Full Time,Mannarkkad Municipality,2024-06-20 00:00:00,Palghat,Kerala,Immediately,2 Months,1,2024-07-17 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,ANTHOOR MUNICIPALITY,2024-06-20 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-05 00:00:00,8000.0
STREET VENDOR,Full Time,ANTHOOR MUNICIPALITY,2024-06-20 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-05 00:00:00,8000.0
DAY NULM INTERNSHIP IN WAAKKANCHERY MUNICIPALITY,Full Time,Wadakkanchery Municipality,2024-06-20 00:00:00,Trichar,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Full Time,Payyannur Municipality,2024-06-20 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-08 00:00:00,8000.0
DAY NULM- SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,Payyannur Municipality,2024-06-21 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-08 00:00:00,8000.0
NULM- STUDY ON STREET VENDOR,Full Time,Payyannur Municipality,2024-06-21 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-08-08 00:00:00,8000.0
NULM INTERNSHIP - IMPACT OF NULM SMID SCHEME IN WOMEN NHGS,Full Time,Neyyattinkara Municipality,2024-06-21 00:00:00,Neyyattinkara,Kerala,Immediately,2 Months,1,2024-07-07 00:00:00,8000.0
SMID-IMPACT OF ADS REVOLVING FUND IN ADS AND NHG ACTIVITIES.,Full Time,Thripunithura Municipality,2024-06-21 00:00:00,Tripunittura,Kerala,Immediately,2 Months,1,2024-06-29 00:00:00,8000.0
SEP- STUDY ON MICRO ENTERPRISE FORMED UNDER NULM -SEP & PMFME -IMPACT ON THEIR LIVELIHOOD,Full Time,Thripunithura Municipality,2024-06-21 00:00:00,Tripunittura,Kerala,Immediately,2 Months,1,2024-06-29 00:00:00,8000.0
DAY NULM INTERN,Full Time,TOWN PANCHAYAT KAMATAGI,2024-06-21 00:00:00,Kamatagi,Karnataka,Immediately,2 Months,3,2024-07-06 00:00:00,5000.0
STUDY ON URBAN SHELTER HOMES - NULM,Full Time,Kochi Municipal Corporation,2024-06-22 00:00:00,Ernakulam,Kerala,Immediately,2 Months,1,2024-06-30 00:00:00,8000.0
NULM INTERNSHIP- IMPACT OF NULM SEP SCHEME IN MICRO ENTERPRISES,Full Time,Neyyattinkara Municipality,2024-06-22 00:00:00,Neyyattinkara,Kerala,Immediately,2 Months,1,2024-07-29 00:00:00,8000.0
NULM INTERNSHIP- IMPACT OF PM SVANIDHI SCHEME IN STREET VENDORS,Full Time,Neyyattinkara Municipality,2024-06-22 00:00:00,Neyyattinkara,Kerala,Immediately,2 Months,1,2024-07-07 00:00:00,8000.0
SELF HELP GROUP SEP SUSV SMID,Full Time,PARAPPANANGADI MUNICIPALITY,2024-06-22 00:00:00,Malappuram,Kerala,Immediately,2 Months,3,2024-07-16 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,CHANGANASSERY MUNICIPALITY,2024-06-22 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
SUPPORT TO URBAN STREET VENDORS : SUSV NULM,Full Time,CHANGANASSERY MUNICIPALITY,2024-06-22 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,Guruvayur Municipality,2024-06-22 00:00:00,Guruvayur,Kerala,Immediately,2 Months,1,2024-08-03 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME : SEP NULM,Full Time,CHANGANASSERY MUNICIPALITY,2024-06-22 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,Guruvayur Municipality,2024-06-22 00:00:00,Guruvayur,Kerala,Immediately,2 Months,1,2024-08-03 00:00:00,8000.0
SMID- STUDY ON ADS RF FUND PRESENT STATUS IN ADS  & ESTP- BENEFICIARY PRESENT STATUS STUDY -MARADU MUNICIPALITY,Full Time,Maradu Municipality,2024-06-22 00:00:00,All,Kerala,Immediately,2 Months,1,2024-07-19 00:00:00,8000.0
"SEP- PRESENT STATUS STUDY OF MICRO ENTERPRISE FORMED USING NULM FUND, CEF & PMFME - MARADU MUNICIPALITY",Full Time,Maradu Municipality,2024-06-22 00:00:00,All,Kerala,Immediately,2 Months,1,2024-07-19 00:00:00,8000.0
INTERNSHIP FOR DAY NULM PROJECT IN PONNANI ULB ON PMSVANIDHI SCHEME,Full Time,Ponnani Municipality,2024-06-22 00:00:00,Ponnani,Kerala,Immediately,2 Months,1,2024-08-10 00:00:00,8000.0
"DAY NULM IMPACT STUDY ON SMID, SEP, EST&P, SUSV AND SUH PROGRAMME",Full Time,VARKALA MUNICIPLAITY,2024-06-22 00:00:00,Varkkallai,Kerala,Immediately,2 Months,2,2024-07-02 00:00:00,8000.0
PM SVANIDHI INTERNSHIP,Full Time,VARKALA MUNICIPLAITY,2024-06-22 00:00:00,Varkkallai,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
TVL -SOCIAL MOBILISATION AND INSTITUTION BUILDING,Full Time,Thiruvalla,2024-06-24 00:00:00,Tiruvalla,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
TVL -SUPPORT FOR URBAN STREET VENDORS,Full Time,Thiruvalla,2024-06-24 00:00:00,Tiruvalla,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
TVL -SELF EMPLOYMENT PROGRAMME,Full Time,Thiruvalla,2024-06-24 00:00:00,Tiruvalla,Kerala,Immediately,2 Months,1,2024-07-02 00:00:00,8000.0
SUSV-  PMSVANIDHI LOAN IMPACT ON STREET VENDORS  AND THEIR PRESENT STATUS- KOOTHATTUKULAM MUNICIPALITY,Full Time,Koothattukulam Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
SMID - STUDY ON NHG -  FORMATION AND REASONS FOR INACTIVE NHG,Full Time,Koothattukulam Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
"SEP- MICRO ENTERPRISE FORMED USING NULM FUND, CEF & PMFME - PRESENT STATUS STUDY- POSIBILITY OF FORMATION  KOOTHATTUKULAM MUNICIPALITY",Full Time,Koothattukulam Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
DAY NULM IMPACT STUDY ON SELF EMPLOYMENT PROGRAM,Full Time,Chengannur Municipality,2024-06-24 00:00:00,Alleppey,Kerala,Immediately,2 Months,1,2024-07-20 00:00:00,8000.0
SMID - STUDY ON NHG -  FORMATION AND REASONS FOR INACTIVE NHG,Full Time,Muvattupuzha Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-08-07 00:00:00,8000.0
SUSV-  PMSVANIDHI LOAN IMPACT ON STREET VENDORS  AND THEIR PRESENT STATUS- MUVATTUPUZHA  MUNICIPALITY,Full Time,Muvattupuzha Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-31 00:00:00,8000.0
"SEP- MICRO ENTERPRISE FORMED USING NULM FUND, CEF & PMFME - PRESENT STATUS STUDY- POSIBILITY OF FORMATION  MUVATTUPUZHA  MUNICIPALITY",Full Time,Muvattupuzha Municipality,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
SUSV-  IMPACT OF PMSVANIDHI SCHEME AND SVANIDHI SE SAMRUDHI SCHEME ON  STREET VENDORS  AND THEIR PRESENT STATUS IN KALAMASSERY MUNICIPALITY,Full Time,KALAMASSERY MUNICIPALITY,2024-06-24 00:00:00,All,Kerala,Immediately,2 Months,1,2024-08-07 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,Thalassery Municipality,2024-06-24 00:00:00,Tellicherry,Kerala,Immediately,2 Months,1,2024-07-03 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,Thalassery Municipality,2024-06-24 00:00:00,Tellicherry,Kerala,Immediately,2 Months,1,2024-07-03 00:00:00,8000.0
SEP- STUDY ON MICRO ENTERPRISE STARTED UNDER DAY NULM SCHEME AND KUDUMBASHREE- KALAMASSERY MUNICIPALITY,Full Time,KALAMASSERY MUNICIPALITY,2024-06-24 00:00:00,All,Kerala,Immediately,2 Months,1,2024-08-10 00:00:00,8000.0
DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,KOTHAMANGALAM MUNICIPALITY,2024-06-24 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-06-28 00:00:00,5000.0
SMID- STUDY ON UTTILISATION OF REVOLVING FUND SANCTIONED TO ADS AND NHG- SUSTAINABILITY OF MICRO ENTERPRICES STARTED OUT OF REVOLVING FUND KALAMASSERY MUNICIPALITY,Full Time,KALAMASSERY MUNICIPALITY,2024-06-24 00:00:00,All,Kerala,Immediately,2 Months,1,2024-07-11 00:00:00,8000.0
DAY NULM INTERNSHIP AT WADAKKANCHERY MUNICIPALITY,Full Time,Wadakkanchery Municipality,2024-06-24 00:00:00,Trichar,Kerala,Immediately,2 Months,1,2024-07-05 00:00:00,8000.0
DAY NULM IMPACT STUDY ON NULM SMID COMPONENT,Full Time,Chengannur Municipality,2024-06-24 00:00:00,Alleppey,Kerala,Immediately,2 Months,1,2024-07-10 00:00:00,8000.0
LIVELIHOOD AND SKILL DEVELOPMENT -TULIP,Full Time,Thrissur Municipal Corporation,2024-06-24 00:00:00,Thrissur,Kerala,Immediately,2 Months,3,2024-07-06 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,Panoor Municipality,2024-06-25 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-07-04 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,Panoor Municipality,2024-06-25 00:00:00,Cannanore,Kerala,Immediately,2 Months,1,2024-07-04 00:00:00,8000.0
"NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,STREET VENDING,SELF EMPLOYMENT PROGRAMME AND PMAY",Full Time,Kottayam Municipality,2024-06-25 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-07 00:00:00,8000.0
DAY NULM - STREET VENDOR,Full Time,Kottayam Municipality,2024-06-25 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-07 00:00:00,8000.0
PRADHAN MANTRI AWAS YOJANA -PMAY,Full Time,Kottayam Municipality,2024-06-25 00:00:00,Kottayam,Kerala,Immediately,2 Months,1,2024-07-07 00:00:00,8000.0
"NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,STREET VENDING,SELF EMPLOYMENT PROGRAMMES.",Full Time,MANANTHAVADY MUNICIPALITY,2024-06-25 00:00:00,All,Kerala,Immediately,2 Months,1,2024-07-31 00:00:00,8000.0
"NULM INTERNSHIP - STUDY ON SMID, SEP & ESTP",Full Time,MANANTHAVADY MUNICIPALITY,2024-06-25 00:00:00,All,Kerala,Immediately,2 Months,2,2024-07-04 00:00:00,5000.0
"NULM INTERNSHIP - LOCAL ECONOMIC DEVELOPMENT AND MICRO ENTERPRISE, KUDUMBASHREE AND NULM IN TRIVANDRUM CORPORATION",Full Time,Thiruvananthapuram Corporation,2024-06-25 00:00:00,Thiruvananthapuram,Kerala,Immediately,2 Months,2,2024-09-06 00:00:00,8000.0
NULM INTERNSHIP - KUDUMBASHREE AND NULM IN TRIVANDRUM CORPORATION,Full Time,Thiruvananthapuram Corporation,2024-06-25 00:00:00,Thiruvananthapuram,Kerala,Immediately,2 Months,1,2024-08-31 00:00:00,8000.0
DAY NULM IMPACT STUDY ON NULM SMID COMPONENT,Full Time,MAVELIKARA MUNICIPALITY,2024-06-26 00:00:00,Alleppey,Kerala,Immediately,2 Months,1,2024-07-10 00:00:00,8000.0
"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Full Time,KASARAGOD MUNICIPALITY,2024-06-26 00:00:00,Kasaragod,Kerala,Immediately,2 Months,3,2024-07-31 00:00:00,8000.0
PMSVANIDHI AND DAY NULM INTERN,Full Time,KASARAGOD MUNICIPALITY,2024-06-26 00:00:00,Kasaragod,Kerala,Immediately,2 Months,3,2024-07-12 00:00:00,8000.0
PMSVANIDHI AND DAY NULM INTERN,Full Time,Kanhangad Municipality,2024-06-26 00:00:00,Kanhangad,Kerala,Immediately,2 Months,3,2024-07-12 00:00:00,8000.0
"DAY NULM TULIP INTERN- SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,STREET VENDING,SELF EMPLOYMENT PROGRAMME",Full Time,VAIKOM MUNICIPALITY,2024-06-26 00:00:00,Kottayam,Kerala,Immediately,2 Months,3,2024-07-14 00:00:00,8000.0
SUPPORT TO URBAN STREET VENDORS,Full Time,Taliparamba Municipality,2024-06-26 00:00:00,Talipparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,Taliparamba Municipality,2024-06-26 00:00:00,Talipparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,Taliparamba Municipality,2024-06-26 00:00:00,Talipparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT : SM&ID NULM,Full Time,KOOTHUPARAMBA MUNICIPALITY,2024-06-26 00:00:00,Kuttuparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
SUPPORT TO STREET VENDORS,Full Time,KOOTHUPARAMBA MUNICIPALITY,2024-06-26 00:00:00,Kuttuparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
SELF EMPLOYMENT PROGRAMME DAY NULM,Full Time,KOOTHUPARAMBA MUNICIPALITY,2024-06-26 00:00:00,Kuttuparamba,Kerala,Immediately,2 Months,1,2024-07-06 00:00:00,8000.0
NULM TULIP INTERN,Full Time,Feroke Municipality,2024-06-27 00:00:00,Calicut,Kerala,Immediately,2 Months,3,2024-07-31 00:00:00,8000.0
DAYNULM INTERN-KODUVALLY MUNICIPALITY,Full Time,KODUVALLY MUNICIPALITY,2024-06-28 00:00:00,Calicut,Kerala,Immediately,2 Months,2,2024-09-10 00:00:00,8000.0
DAY NULM IMPACT STUDY ON NULM SEP COMPONENT,Full Time,MAVELIKARA MUNICIPALITY,2024-06-28 00:00:00,Alleppey,Kerala,Immediately,2 Months,1,2024-07-10 00:00:00,8000.0
DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Full Time,KOTHAMANGALAM MUNICIPALITY,2024-06-29 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-04 00:00:00,5000.0
DAY NULM SUPPORT TO URBAN SREET VENDORS,Full Time,KOTHAMANGALAM MUNICIPALITY,2024-06-29 00:00:00,Kochi,Kerala,Immediately,2 Months,1,2024-07-04 00:00:00,5000.0
STREET VENDORS PAYYOLI ULB,Full Time,Payyoli municipality,2024-06-29 00:00:00,Calicut,Kerala,Immediately,2 Months,1,2024-07-26 00:00:00,8000.0
